Ensembl Gene ID	Associated Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name
ENSG00000158636	C11orf30	76155967	76264069	11
ENSG00000198286	CARD11	2945775	3083579	7
ENSG00000067955	CBFB	67063019	67134961	16
ENSG00000110395	CBL	119076752	119178859	11
ENSG00000110092	CCND1	69455855	69469242	11
ENSG00000118971	CCND2	4382938	4414516	12
ENSG00000112576	CCND3	41902671	42018095	6
ENSG00000105173	CCNE1	30302805	30315215	19
ENSG00000120217	CD274	5450503	5470566	9
ENSG00000105369	CD79A	42381190	42385439	19
ENSG00000272985	CD79A	42383025	42387277	HG1350_HG959_PATCH
LRG_42	LRG_42	5001	9250	LRG_42
ENSG00000007312	CD79B	62006100	62009714	17
LRG_43	LRG_43	5001	8607	LRG_43
ENSG00000134371	CDC73	193091147	193223031	1
LRG_507	LRG_507	5001	137858	LRG_507
ENSG00000039068	CDH1	68771128	68869451	16
LRG_301	LRG_301	5001	103250	LRG_301
ENSG00000167258	CDK12	37617764	37721160	17
ENSG00000135446	CDK4	58141510	58149796	12
LRG_490	LRG_490	5000	9162	LRG_490
ENSG00000105810	CDK6	92234235	92465908	7
ENSG00000132964	CDK8	26828276	26979375	13
ENSG00000124762	CDKN1A	36644305	36655116	6
ENSG00000111276	CDKN1B	12867992	12875305	12
ENSG00000147889	CDKN2A	21967751	21995300	9
LRG_11	LRG_11	5001	31740	LRG_11
ENSG00000147883	CDKN2B	22002902	22009362	9
ENSG00000123080	CDKN2C	51426417	51440305	1
ENSG00000245848	CEBPA	33790840	33793470	19
LRG_456	LRG_456	5001	7591	LRG_456
ENSG00000173575	CHD2	93426526	93571237	15
ENSG00000111642	CHD4	6679249	6716642	12
ENSG00000149554	CHEK1	125495036	125546150	11
ENSG00000183765	CHEK2	29083731	29138410	22
ENSG00000079432	CIC	42772689	42799949	19
ENSG00000005339	CREBBP	3775055	3930727	16
ENSG00000099942	CRKL	21271714	21308037	22
ENSG00000205755	CRLF2	1314890	1331616	X
ENSG00000182578	CSF1R	149432854	149492935	5
ENSG00000102974	CTCF	67596310	67673086	16
ENSG00000044115	CTNNA1	137946656	138270723	5
ENSG00000168036	CTNNB1	41236328	41301587	3
ENSG00000036257	CUL3	225334867	225450110	2
ENSG00000083799	CYLD	50775961	50835846	16
LRG_491	LRG_491	5001	64886	LRG_491
ENSG00000229396	DAXX	33436114	33436396	HSCHR6_MHC_SSTO
ENSG00000206279	DAXX	33215186	33225897	HSCHR6_MHC_QBL
ENSG00000231617	DAXX	33456681	33467390	HSCHR6_MHC_MCF
ENSG00000204209	DAXX	33286335	33297046	6
ENSG00000227046	DAXX	33207945	33218656	HSCHR6_MHC_COX
ENSG00000206206	DAXX	33264261	33274971	HSCHR6_MHC_DBB
ENSG00000162733	DDR2	162601163	162757190	1
ENSG00000100697	DICER1	95552565	95624347	14
LRG_492	LRG_492	5001	76195	LRG_492
ENSG00000119772	DNMT3A	25455845	25565459	2
ENSG00000104885	DOT1L	2164148	2232577	19
ENSG00000146648	EGFR	55086714	55324313	7
ENSG00000100393	EP300	41487790	41576081	22
ENSG00000044524	EPHA3	89156674	89531284	3
ENSG00000145242	EPHA5	66185281	66536213	4
ENSG00000135333	EPHA7	93949738	94129265	6
ENSG00000154928	EPHB1	134316643	134979309	3
ENSG00000141736	ERBB2	37844167	37886679	17
ENSG00000065361	ERBB3	56473641	56497289	12
ENSG00000178568	ERBB4	212240446	213403565	2
ENSG00000157554	ERG	39751949	40033704	21
ENSG00000091831	ESR1	151977826	152450754	6
ENSG00000106462	EZH2	148504475	148581413	7
ENSG00000183508	FAM46C	118148556	118170994	1
ENSG00000187741	FANCA	89803957	89883065	16
LRG_495	LRG_495	5001	84107	LRG_495
ENSG00000158169	FANCC	97861336	98079991	9
LRG_497	LRG_497	5001	223656	LRG_497
ENSG00000144554	FANCD2	10068098	10143614	3
ENSG00000112039	FANCE	35420138	35434880	6
LRG_498	LRG_498	5001	19744	LRG_498
ENSG00000183161	FANCF	22644079	22647387	11
LRG_527	LRG_527	5001	8309	LRG_527
ENSG00000221829	FANCG	35073832	35080013	9
LRG_499	LRG_499	5001	11179	LRG_499
ENSG00000115392	FANCL	58386378	58468507	2
ENSG00000026103	FAS	90750414	90775542	10
LRG_134	LRG_134	5001	30255	LRG_134
ENSG00000083857	FAT1	187508937	187647876	4
ENSG00000109670	FBXW7	153242410	153457253	4
ENSG00000070193	FGF10	44303646	44389808	5
ENSG00000102466	FGF14	102372134	103054124	13
ENSG00000162344	FGF19	69513000	69519410	11
ENSG00000118972	FGF23	4477393	4488894	12
ENSG00000261155	FGF3	69624992	69633792	HG536_PATCH
ENSG00000186895	FGF3	69624992	69633792	11
ENSG00000075388	FGF4	69587797	69590171	11
ENSG00000111241	FGF6	4537321	4554780	12
ENSG00000077782	FGFR1	38268656	38326352	8
ENSG00000066468	FGFR2	123237848	123357972	10
ENSG00000068078	FGFR3	1795034	1810599	4
ENSG00000160867	FGFR4	176513887	176525145	5
ENSG00000091483	FH	241660903	241683061	1
LRG_504	LRG_504	4970	27198	LRG_504
ENSG00000154803	FLCN	17115526	17140502	17
LRG_325	LRG_325	5001	29977	LRG_325
ENSG00000102755	FLT1	28874489	29069265	13
ENSG00000122025	FLT3	28577411	28674729	13
LRG_457	LRG_457	4977	102295	LRG_457
ENSG00000037280	FLT4	180028506	180076624	5
ENSG00000183770	FOXL2	138663066	138665982	3
ENSG00000114861	FOXP1	71003844	71633140	3
ENSG00000166225	FRS2	69864129	69973562	12
ENSG00000162613	FUBP1	78409740	78444794	1
ENSG00000145863	GABRA6	160974069	161129599	5
ENSG00000102145	GATA1	48644962	48652716	X
ENSG00000267841	GATA1	48645953	48653708	HG1436_HG1432_PATCH
ENSG00000179348	GATA2	128198270	128212028	3
LRG_295	LRG_295	5001	18766	LRG_295
ENSG00000107485	GATA3	8095567	8117161	10
ENSG00000136574	GATA4	11534468	11617511	8
ENSG00000141448	GATA6	19749404	19782491	18
ENSG00000141034	GID4	17942606	17971718	17
ENSG00000088256	GNA11	3094408	3124002	19
ENSG00000120063	GNA13	63006833	63052957	17
ENSG00000156052	GNAQ	80331003	80646374	9
ENSG00000087460	GNAS	57414773	57486247	20
ENSG00000020181	GPR124	37641709	37702414	8
ENSG00000183454	GRIN2A	9852376	10276611	16
ENSG00000198822	GRM3	86273230	86494200	7
ENSG00000082701	GSK3B	119540170	119813264	3
ENSG00000163041	H3F3A	226249552	226259702	1
ENSG00000019991	HGF	81328322	81399754	7
ENSG00000135100	HNF1A	121416346	121440315	12
LRG_522	LRG_522	5001	28767	LRG_522
ENSG00000174775	HRAS	532242	537287	11
ENSG00000203857	HSD3B1	120049821	120057681	1
ENSG00000080824	HSP90AA1	102547075	102606036	14
ENSG00000138413	IDH1	209100951	209130798	2
ENSG00000182054	IDH2	90626277	90645736	15
ENSG00000140443	IGF1R	99192200	99507759	15
ENSG00000167244	IGF2	2150342	2170833	11
ENSG00000143466	IKBKE	206643791	206670223	1
ENSG00000263528	IKBKE	206534037	206560450	HG1293_PATCH
ENSG00000185811	IKZF1	50343720	50472799	7
ENSG00000168685	IL7R	35852797	35879705	5
LRG_74	LRG_74	5001	24934	LRG_74
ENSG00000122641	INHBA	41724712	41742706	7
ENSG00000109452	INPP4B	142944313	143768585	4
ENSG00000168310	IRF2	185308867	185395734	4
ENSG00000137265	IRF4	391739	411447	6
ENSG00000185950	IRS2	110406184	110438915	13
ENSG00000162434	JAK1	65298912	65432187	1
ENSG00000096968	JAK2	4985033	5128183	9
ENSG00000105639	JAK3	17935589	17958880	19
LRG_77	LRG_77	4960	28210	LRG_77
ENSG00000177606	JUN	59246465	59249785	1
ENSG00000083168	KAT6A	41786997	41909508	8
ENSG00000073614	KDM5A	389295	498620	12
ENSG00000126012	KDM5C	53220503	53254604	X
ENSG00000269816	KDM5C	52934321	52968422	HG1433_PATCH
ENSG00000147050	KDM6A	44732757	44971847	X
ENSG00000128052	KDR	55944644	55991756	4
ENSG00000079999	KEAP1	10596796	10614417	19
ENSG00000260040	KEL	142701710	142723277	HG7_PATCH
ENSG00000197993	KEL	142638201	142659768	7
ENSG00000157404	KIT	55524085	55606881	4
LRG_307	LRG_307	4935	87721	LRG_307
ENSG00000172578	KLHL6	183205319	183273477	3
ENSG00000118058	KMT2A	118307205	118397539	11
ENSG00000267910	KMT2A	118307205	118397539	HG122_PATCH
ENSG00000055609	KMT2C	151832010	152133090	7
ENSG00000167548	KMT2D	49412758	49453557	12
ENSG00000133703	KRAS	25357723	25403870	12
ENSG00000166407	LMO1	8245851	8290263	11
ENSG00000168702	LRP1B	140988992	142889270	2
ENSG00000254087	LYN	56792372	56923940	8
ENSG00000099949	LZTR1	21333751	21353327	22
ENSG00000187391	MAGI2	77646393	79082890	7
ENSG00000169032	MAP2K1	66679155	66784650	15
ENSG00000126934	MAP2K2	4090319	4124126	19
ENSG00000065559	MAP2K4	11924141	12047147	17
ENSG00000095015	MAP3K1	56111401	56191979	5
ENSG00000143384	MCL1	150547032	150552066	1
ENSG00000135679	MDM2	69201956	69239214	12
ENSG00000198625	MDM4	204485511	204542871	1
ENSG00000184634	MED12	70338406	70362303	X
ENSG00000213999	MEF2B	19256377	19303400	19
ENSG00000133895	MEN1	64570982	64578766	11
LRG_509	LRG_509	5579	12781	LRG_509
ENSG00000105976	MET	116312444	116438440	7
ENSG00000187098	MITF	69788586	70017488	3
ENSG00000076242	MLH1	37034823	37107380	3
LRG_216	LRG_216	5001	62497	LRG_216
ENSG00000117400	MPL	43803478	43818443	1
LRG_510	LRG_510	5001	21661	LRG_510
ENSG00000020922	MRE11A	94152895	94227074	11
LRG_85	LRG_85	5001	81575	LRG_85
ENSG00000095002	MSH2	47630108	47789450	2
LRG_218	LRG_218	4944	85105	LRG_218
ENSG00000116062	MSH6	47922669	48037240	2
LRG_219	LRG_219	4936	28807	LRG_219
ENSG00000198793	MTOR	11166592	11322564	1
ENSG00000132781	MUTYH	45794835	45806142	1
LRG_220	LRG_220	5001	16229	LRG_220
ENSG00000136997	MYC	128747680	128753674	8
ENSG00000116990	MYCL	40361098	40367928	1
ENSG00000134323	MYCN	16080686	16087129	2
ENSG00000172936	MYD88	38179969	38184513	3
LRG_157	LRG_157	5001	9545	LRG_157
ENSG00000196712	NF1	29421945	29709134	17
LRG_214	LRG_214	4951	287701	LRG_214
ENSG00000186575	NF2	29999545	30094587	22
LRG_511	LRG_511	5001	100045	LRG_511
ENSG00000116044	NFE2L2	178092323	178257425	2
ENSG00000100906	NFKBIA	35870717	35873955	14
LRG_89	LRG_89	4985	8229	LRG_89
ENSG00000136352	NKX2-1	36985602	36990354	14
ENSG00000148400	NOTCH1	139388896	139440314	9
ENSG00000134250	NOTCH2	120454176	120612240	1
ENSG00000074181	NOTCH3	15270444	15311792	19
ENSG00000181163	NPM1	170814120	170838141	5
LRG_458	LRG_458	5001	28181	LRG_458
ENSG00000213281	NRAS	115247090	115259515	1
LRG_92	LRG_92	5001	17438	LRG_92
ENSG00000165671	NSD1	176560026	176727216	5
LRG_512	LRG_512	5754	172135	LRG_512
ENSG00000198400	NTRK1	156785432	156851642	1
LRG_261	LRG_261	5001	71101	LRG_261
ENSG00000148053	NTRK2	87283466	87638505	9
ENSG00000140538	NTRK3	88418230	88799999	15
ENSG00000102900	NUP93	56764017	56878797	16
ENSG00000077264	PAK3	110187513	110470589	X
ENSG00000083093	PALB2	23614488	23652631	16
LRG_308	LRG_308	5001	43196	LRG_308
ENSG00000185345	PARK2	161768452	163148803	6
ENSG00000196092	PAX5	36833272	37034103	9
ENSG00000163939	PBRM1	52579368	52719933	3
ENSG00000197646	PDCD1LG2	5510545	5571282	9
ENSG00000134853	PDGFRA	55095264	55164414	4
ENSG00000113721	PDGFRB	149493400	149535435	5
ENSG00000152256	PDK1	173420101	173489823	2
ENSG00000133056	PIK3C2B	204391756	204463852	1
ENSG00000121879	PIK3CA	178865902	178957881	3
ENSG00000051382	PIK3CB	138372860	138553780	3
ENSG00000105851	PIK3CG	106505723	106547590	7
ENSG00000145675	PIK3R1	67511548	67597649	5
ENSG00000105647	PIK3R2	18263928	18281350	19
ENSG00000197943	PLCG2	81772702	81991899	16
LRG_376	LRG_376	45198	224198	LRG_376
ENSG00000122512	PMS2	6012870	6048756	7
LRG_161	LRG_161	5001	40868	LRG_161
ENSG00000062822	POLD1	50887461	50921273	19
ENSG00000177084	POLE	133200348	133263951	12
ENSG00000105568	PPP2R1A	52693292	52730687	19
ENSG00000057657	PRDM1	106534195	106557814	6
ENSG00000046889	PREX2	68864353	69149265	8
ENSG00000108946	PRKAR1A	66507921	66547460	17
ENSG00000163558	PRKCI	169940153	170023769	3
ENSG00000253729	PRKDC	48685669	48872743	8
LRG_162	LRG_162	5001	192076	LRG_162
ENSG00000052344	PRSS8	31142756	31147083	16
ENSG00000185920	PTCH1	98205262	98279339	9
ENSG00000171862	PTEN	89622870	89731687	10
LRG_311	LRG_311	5001	110337	LRG_311
ENSG00000179295	PTPN11	112856155	112947717	12
ENSG00000112531	QKI	163835032	163999628	6
ENSG00000136238	RAC1	6414154	6443608	7
ENSG00000113522	RAD50	131891711	131980313	5
ENSG00000051180	RAD51	40986972	41024354	15
ENSG00000132155	RAF1	12625100	12705725	3
LRG_413	LRG_413	4979	85579	LRG_413
ENSG00000153201	RANBP2	109335937	109402267	2
ENSG00000131759	RARA	38465444	38513094	17
ENSG00000139687	RB1	48877887	49056122	13
LRG_517	LRG_517	5001	183144	LRG_517
ENSG00000182872	RBM10	47004268	47046212	X
ENSG00000271352	RBM10	47004304	47046248	HG29_PATCH
ENSG00000165731	RET	43572475	43625799	10
ENSG00000164327	RICTOR	38938021	39074510	5
ENSG00000108375	RNF43	56429861	56494956	17
ENSG00000047936	ROS1	117609463	117747018	6
ENSG00000141564	RPTOR	78518619	78940171	17
ENSG00000159216	RUNX1	36160098	37376965	21
LRG_482	LRG_482	940414	1201911	LRG_482
ENSG00000079102	RUNX1T1	92967203	93115514	8
ENSG00000073578	SDHA	218356	256815	5
ENSG00000117118	SDHB	17345217	17380665	1
LRG_316	LRG_316	5001	40449	LRG_316
ENSG00000143252	SDHC	161284047	161332984	1
LRG_317	LRG_317	5001	55376	LRG_317
ENSG00000204370	SDHD	111957497	111990353	11
ENSG00000181555	SETD2	47057919	47205457	3
ENSG00000115524	SF3B1	198254508	198299815	2
ENSG00000145147	SLIT2	20254883	20622184	4
ENSG00000175387	SMAD2	45357922	45457515	18
ENSG00000166949	SMAD3	67356101	67487533	15
ENSG00000141646	SMAD4	48494410	48611415	18
LRG_318	LRG_318	67174	122003	LRG_318
ENSG00000127616	SMARCA4	11071598	11176071	19
ENSG00000099956	SMARCB1	24129150	24176703	22
LRG_520	LRG_520	5001	52556	LRG_520
ENSG00000128602	SMO	128828713	128853386	7
ENSG00000064692	SNCAIP	121647049	121799914	5
ENSG00000185338	SOCS1	11348262	11350036	16
ENSG00000100146	SOX10	38366693	38383429	22
LRG_271	LRG_271	5001	17221	LRG_271
ENSG00000181449	SOX2	181429714	181432221	3
ENSG00000125398	SOX9	70117161	70122561	17
ENSG00000065526	SPEN	16174359	16266955	1
ENSG00000121067	SPOP	47676246	47755596	17
ENSG00000163554	SPTA1	158580496	158656488	1
ENSG00000197122	SRC	35973088	36034453	20
ENSG00000101972	STAG2	123094062	123556514	X
ENSG00000168610	STAT3	40465342	40540586	17
LRG_112	LRG_112	5001	80171	LRG_112
ENSG00000138378	STAT4	191894302	192016322	2
ENSG00000118046	STK11	1189406	1228428	19
LRG_319	LRG_319	21393	44029	LRG_319
ENSG00000107882	SUFU	104263744	104393292	10
LRG_521	LRG_521	5001	134496	LRG_521
ENSG00000165025	SYK	93564069	93660831	9
ENSG00000147133	TAF1	70586114	70752224	X
ENSG00000135111	TBX3	115108059	115121969	12
ENSG00000270141	TERC	169482308	169482848	3
LRG_347	LRG_347	5001	5451	LRG_347
ENSG00000164362	TERT	1253262	1295184	5
LRG_343	LRG_343	5001	46881	LRG_343
ENSG00000168769	TET2	106067032	106200973	4
ENSG00000163513	TGFBR2	30647994	30735634	3
ENSG00000118503	TNFAIP3	138188351	138204449	6
ENSG00000157873	TNFRSF14	2487078	2496821	1
ENSG00000198900	TOP1	39657458	39753127	20
ENSG00000131747	TOP2A	38544768	38574202	17
ENSG00000141510	TP53	7565097	7590856	17
LRG_321	LRG_321	5001	24149	LRG_321
ENSG00000165699	TSC1	135766735	135820020	9
ENSG00000103197	TSC2	2097466	2138716	16
ENSG00000165409	TSHR	81421333	81612646	14
LRG_523	LRG_523	5001	195778	LRG_523
ENSG00000160201	U2AF1	44513066	44527697	21
ENSG00000112715	VEGFA	43737921	43754224	6
ENSG00000134086	VHL	10182692	10193904	3
LRG_322	LRG_322	5001	17036	LRG_322
ENSG00000112761	WISP3	112375275	112392171	6
ENSG00000266134	WISP3	112375275	112392172	HG1304_PATCH
ENSG00000184937	WT1	32409321	32457176	11
ENSG00000082898	XPO1	61704984	61765761	2
ENSG00000181472	ZBTB2	151685252	151712683	6
ENSG00000171940	ZNF217	52183604	52226446	20
ENSG00000183779	ZNF703	37553269	37557537	8
