Ensembl Gene ID	Associated Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name
ENSG00000157764	BRAF	140419127	140624564	7
ENSG00000012048	BRCA1	41196312	41277500	17
LRG_292	LRG_292	92501	173689	LRG_292
ENSG00000139618	BRCA2	32889611	32973805	13
LRG_293	LRG_293	5001	89193	LRG_293
ENSG00000141867	BRD4	15347647	15443356	19
ENSG00000136492	BRIP1	59758627	59940882	17
LRG_300	LRG_300	5001	189374	LRG_300
ENSG00000133639	BTG1	92536286	92539673	12
ENSG00000010671	BTK	100604435	100641183	X
ENSG00000268897	BTK	100604435	100641183	HG1439_PATCH
LRG_128	LRG_128	5001	41778	LRG_128
ENSG00000158636	C11orf30	76155967	76264069	11
ENSG00000179218	CALR	13049392	13055303	19
ENSG00000198286	CARD11	2945775	3083579	7
ENSG00000067955	CBFB	67063019	67134961	16
ENSG00000110395	CBL	119076752	119178859	11
ENSG00000114423	CBLB	105374305	105588396	3
ENSG00000110092	CCND1	69455855	69469242	11
ENSG00000118971	CCND2	4382938	4414516	12
ENSG00000112576	CCND3	41902671	42018095	6
ENSG00000105173	CCNE1	30302805	30315215	19
ENSG00000120217	CD274	5450503	5470566	9
ENSG00000105369	CD79A	42381190	42385439	19
ENSG00000272985	CD79A	42383025	42387277	HG1350_HG959_PATCH
LRG_42	LRG_42	5001	9250	LRG_42
ENSG00000007312	CD79B	62006100	62009714	17
LRG_43	LRG_43	5001	8607	LRG_43
ENSG00000070831	CDC42	22379120	22419437	1
ENSG00000134371	CDC73	193091147	193223031	1
LRG_507	LRG_507	5001	137858	LRG_507
ENSG00000039068	CDH1	68771128	68869451	16
LRG_301	LRG_301	5001	103250	LRG_301
ENSG00000167258	CDK12	37617764	37721160	17
ENSG00000135446	CDK4	58141510	58149796	12
LRG_490	LRG_490	5000	9162	LRG_490
ENSG00000105810	CDK6	92234235	92465908	7
ENSG00000132964	CDK8	26828276	26979375	13
ENSG00000124762	CDKN1A	36644305	36655116	6
ENSG00000111276	CDKN1B	12867992	12875305	12
ENSG00000147889	CDKN2A	21967751	21995300	9
LRG_11	LRG_11	5001	31740	LRG_11
ENSG00000147883	CDKN2B	22002902	22009362	9
ENSG00000123080	CDKN2C	51426417	51440305	1
ENSG00000245848	CEBPA	33790840	33793470	19
LRG_456	LRG_456	5001	7591	LRG_456
ENSG00000153922	CHD1	98190908	98262240	5
ENSG00000173575	CHD2	93426526	93571237	15
ENSG00000111642	CHD4	6679249	6716642	12
ENSG00000116254	CHD5	6161853	6240183	1
ENSG00000149554	CHEK1	125495036	125546150	11
ENSG00000183765	CHEK2	29083731	29138410	22
ENSG00000079432	CIC	42772689	42799949	19
ENSG00000066405	CLDN18	137717577	137752494	3
ENSG00000088038	CNOT3	54641444	54659419	19
ENSG00000272883	CNOT3	54641444	54659419	HSCHR19LRC_COX2_CTG1
ENSG00000273202	CNOT3	54641444	54659419	HSCHR19LRC_LRC_I_CTG1
ENSG00000273159	CNOT3	54641444	54659419	HSCHR19LRC_LRC_T_CTG1
ENSG00000273459	CNOT3	54641444	54659419	HSCHR19LRC_LRC_S_CTG1
ENSG00000273223	CNOT3	54641444	54659419	HSCHR19LRC_LRC_J_CTG1
ENSG00000262369	CNOT3	54641444	54659419	HSCHR19LRC_PGF1_CTG1
ENSG00000273273	CNOT3	54641444	54659419	HSCHR19LRC_PGF2_CTG1
ENSG00000108821	COL1A1	48260650	48278993	17
LRG_1	LRG_1	5001	22544	LRG_1
ENSG00000139219	COL2A1	48366748	48398269	12
ENSG00000169509	CRCT1	152486978	152488486	1
ENSG00000118260	CREB1	208394461	208468155	2
ENSG00000005339	CREBBP	3775055	3930727	16
ENSG00000099942	CRKL	21271714	21308037	22
ENSG00000182578	CSF1R	149432854	149492935	5
ENSG00000119535	CSF3R	36931644	36948879	1
LRG_144	LRG_144	4595	21866	LRG_144
ENSG00000102974	CTCF	67596310	67673086	16
ENSG00000044115	CTNNA1	137946656	138270723	5
ENSG00000168036	CTNNB1	41236328	41301587	3
ENSG00000036257	CUL3	225334867	225450110	2
ENSG00000257923	CUX1	101458959	101927249	7
ENSG00000259938	CUX1	101459219	101927238	HG115_PATCH
ENSG00000121966	CXCR4	136871919	136875735	2
LRG_51	LRG_51	5001	8807	LRG_51
ENSG00000083799	CYLD	50775961	50835846	16
LRG_491	LRG_491	5001	64886	LRG_491
ENSG00000187323	DCC	49866542	51057784	18
ENSG00000175197	DDIT3	57910371	57914300	12
ENSG00000162733	DDR2	162601163	162757190	1
ENSG00000215301	DDX3X	41192651	41223725	X
ENSG00000183258	DDX41	176938578	176944470	5
ENSG00000102780	DGKH	42614176	42830714	13
ENSG00000100697	DICER1	95552565	95624347	14
LRG_492	LRG_492	5001	76195	LRG_492
ENSG00000083520	DIS3	73329540	73356234	13
ENSG00000132002	DNAJB1	14625582	14640582	19
ENSG00000119772	DNMT3A	25455845	25565459	2
ENSG00000104885	DOT1L	2164148	2232577	19
ENSG00000158050	DUSP2	96808905	96811179	2
ENSG00000120875	DUSP4	29190581	29208185	8
ENSG00000139318	DUSP6	89741009	89747048	12
ENSG00000158560	DYNC1I1	95401866	95739634	7
ENSG00000164330	EBF1	158122928	158526769	5
ENSG00000136160	EDNRB	78469616	78493903	13
ENSG00000146648	EGFR	55086714	55324313	7
ENSG00000120738	EGR1	137801179	137805004	5
ENSG00000173674	EIF1AX	20142636	20159962	X
ENSG00000163435	ELF3	201977073	201986316	1
ENSG00000100393	EP300	41487790	41576081	22
ENSG00000119888	EPCAM	47572297	47614740	2
LRG_215	LRG_215	28986	46866	LRG_215
ENSG00000142627	EPHA2	16450832	16482582	1
ENSG00000044524	EPHA3	89156674	89531284	3
ENSG00000145242	EPHA5	66185281	66536213	4
ENSG00000135333	EPHA7	93949738	94129265	6
ENSG00000154928	EPHB1	134316643	134979309	3
ENSG00000187266	EPOR	11488236	11495018	19
ENSG00000141736	ERBB2	37844167	37886679	17
ENSG00000065361	ERBB3	56473641	56497289	12
ENSG00000178568	ERBB4	212240446	213403565	2
ENSG00000012061	ERCC1	45910591	45982086	19
ENSG00000104884	ERCC2	45853095	45874176	19
LRG_461	LRG_461	5001	24197	LRG_461
ENSG00000157554	ERG	39751949	40033704	21
ENSG00000116285	ERRFI1	8064464	8086368	1
ENSG00000135476	ESPL1	53662083	53687427	12
ENSG00000091831	ESR1	151977826	152450754	6
ENSG00000140009	ESR2	64550950	64804830	14
ENSG00000134954	ETS1	128328656	128457453	11
ENSG00000139083	ETV6	11802788	12048336	12
ENSG00000182944	EWSR1	29663998	29696515	22
ENSG00000108799	EZH1	40852293	40897071	17
ENSG00000106462	EZH2	148504475	148581413	7
ENSG00000183508	FAM46C	118148556	118170994	1
ENSG00000187741	FANCA	89803957	89883065	16
LRG_495	LRG_495	5001	84107	LRG_495
ENSG00000158169	FANCC	97861336	98079991	9
LRG_497	LRG_497	5001	223656	LRG_497
ENSG00000112039	FANCE	35420138	35434880	6
LRG_498	LRG_498	5001	19744	LRG_498
ENSG00000183161	FANCF	22644079	22647387	11
LRG_527	LRG_527	5001	8309	LRG_527
ENSG00000221829	FANCG	35073832	35080013	9
LRG_499	LRG_499	5001	11179	LRG_499
ENSG00000115392	FANCL	58386378	58468507	2
ENSG00000083857	FAT1	187508937	187647876	4
ENSG00000165323	FAT3	92085262	92629618	11
ENSG00000109670	FBXW7	153242410	153457253	4
ENSG00000070193	FGF10	44303646	44389808	5
ENSG00000102466	FGF14	102372134	103054124	13
ENSG00000162344	FGF19	69513000	69519410	11
ENSG00000118972	FGF23	4477393	4488894	12
ENSG00000261155	FGF3	69624992	69633792	HG536_PATCH
ENSG00000186895	FGF3	69624992	69633792	11
ENSG00000075388	FGF4	69587797	69590171	11
ENSG00000111241	FGF6	4537321	4554780	12
ENSG00000077782	FGFR1	38268656	38326352	8
ENSG00000066468	FGFR2	123237848	123357972	10
ENSG00000068078	FGFR3	1795034	1810599	4
ENSG00000160867	FGFR4	176513887	176525145	5
ENSG00000091483	FH	241660903	241683061	1
LRG_504	LRG_504	4970	27198	LRG_504
ENSG00000154803	FLCN	17115526	17140502	17
LRG_325	LRG_325	5001	29977	LRG_325
ENSG00000102755	FLT1	28874489	29069265	13
ENSG00000122025	FLT3	28577411	28674729	13
LRG_457	LRG_457	4977	102295	LRG_457
ENSG00000037280	FLT4	180028506	180076624	5
ENSG00000129514	FOXA1	38059189	38069245	14
ENSG00000183770	FOXL2	138663066	138665982	3
ENSG00000150907	FOXO1	41129804	41240734	13
ENSG00000114861	FOXP1	71003844	71633140	3
ENSG00000166225	FRS2	69864129	69973562	12
ENSG00000162613	FUBP1	78409740	78444794	1
ENSG00000089280	FUS	31191431	31203127	16
ENSG00000010810	FYN	111981535	112194655	6
ENSG00000033327	GAB2	77926343	78129394	11
ENSG00000102145	GATA1	48644962	48652716	X
ENSG00000267841	GATA1	48645953	48653708	HG1436_HG1432_PATCH
ENSG00000179348	GATA2	128198270	128212028	3
LRG_295	LRG_295	5001	18766	LRG_295
ENSG00000107485	GATA3	8095567	8117161	10
ENSG00000111087	GLI1	57853918	57866045	12
ENSG00000074047	GLI2	121493199	121750229	2
ENSG00000088256	GNA11	3094408	3124002	19
ENSG00000120063	GNA13	63006833	63052957	17
ENSG00000156052	GNAQ	80331003	80646374	9
ENSG00000087460	GNAS	57414773	57486247	20
ENSG00000147257	GPC3	132669773	133119922	X
LRG_505	LRG_505	4994	454894	LRG_505
ENSG00000020181	GPR124	37641709	37702414	8
ENSG00000183454	GRIN2A	9852376	10276611	16
ENSG00000198822	GRM3	86273230	86494200	7
ENSG00000082701	GSK3B	119540170	119813264	3
ENSG00000163041	H3F3A	226249552	226259702	1
ENSG00000132475	H3F3B	73772515	73781974	17
ENSG00000068024	HDAC4	239969864	240323348	2
ENSG00000048052	HDAC9	18126572	19042039	7
ENSG00000164683	HEY1	80676245	80680098	8
ENSG00000019991	HGF	81328322	81399754	7
ENSG00000100644	HIF1A	62162231	62214976	14
ENSG00000124693	HIST1H3B	26031817	26032288	6
ENSG00000149948	HMGA2	66217911	66360075	12
ENSG00000135100	HNF1A	121416346	121440315	12
LRG_522	LRG_522	5001	28767	LRG_522
ENSG00000159184	HOXB13	46802125	46806540	17
ENSG00000174775	HRAS	532242	537287	11
ENSG00000096384	HSP90AB1	44214824	44221620	6
ENSG00000126803	HSPA2	65002623	65009955	14
ENSG00000044574	HSPA5	127997132	128003609	9
ENSG00000117318	ID3	23884409	23886285	1
ENSG00000138413	IDH1	209100951	209130798	2
ENSG00000182054	IDH2	90626277	90645736	15
ENSG00000140443	IGF1R	99192200	99507759	15
ENSG00000167244	IGF2	2150342	2170833	11
ENSG00000197081	IGF2R	160390131	160534539	6
ENSG00000143466	IKBKE	206643791	206670223	1
ENSG00000263528	IKBKE	206534037	206560450	HG1293_PATCH
ENSG00000185811	IKZF1	50343720	50472799	7
ENSG00000030419	IKZF2	213864429	214017151	2
ENSG00000161405	IKZF3	37921198	38020441	17
ENSG00000100385	IL2RB	37521878	37571094	22
ENSG00000168685	IL7R	35852797	35879705	5
LRG_74	LRG_74	5001	24934	LRG_74
ENSG00000122641	INHBA	41724712	41742706	7
ENSG00000109452	INPP4B	142944313	143768585	4
ENSG00000151151	IPMK	59951278	60027694	10
ENSG00000137265	IRF4	391739	411447	6
ENSG00000185950	IRS2	110406184	110438915	13
ENSG00000162434	JAK1	65298912	65432187	1
ENSG00000096968	JAK2	4985033	5128183	9
ENSG00000105639	JAK3	17935589	17958880	19
LRG_77	LRG_77	4960	28210	LRG_77
ENSG00000153814	JAZF1	27870192	28220362	7
ENSG00000083168	KAT6A	41786997	41909508	8
ENSG00000073614	KDM5A	389295	498620	12
ENSG00000126012	KDM5C	53220503	53254604	X
ENSG00000269816	KDM5C	52934321	52968422	HG1433_PATCH
ENSG00000147050	KDM6A	44732757	44971847	X
ENSG00000128052	KDR	55944644	55991756	4
ENSG00000079999	KEAP1	10596796	10614417	19
ENSG00000157404	KIT	55524085	55606881	4
LRG_307	LRG_307	4935	87721	LRG_307
ENSG00000136826	KLF4	110247133	110252763	9
ENSG00000172578	KLHL6	183205319	183273477	3
ENSG00000118058	KMT2A	118307205	118397539	11
ENSG00000267910	KMT2A	118307205	118397539	HG122_PATCH
ENSG00000105663	KMT2B	36208921	36229779	19
ENSG00000167548	KMT2D	49412758	49453557	12
ENSG00000128944	KNSTRN	40674922	40686447	15
ENSG00000133703	KRAS	25357723	25403870	12
ENSG00000138795	LEF1	108968701	109090112	4
ENSG00000113594	LIFR	38475065	38608456	5
ENSG00000168702	LRP1B	140988992	142889270	2
ENSG00000099949	LZTR1	21333751	21353327	22
ENSG00000251562	MALAT1	65265233	65273940	11
ENSG00000184384	MAML2	95709762	96076344	11
ENSG00000169032	MAP2K1	66679155	66784650	15
ENSG00000126934	MAP2K2	4090319	4124126	19
ENSG00000065559	MAP2K4	11924141	12047147	17
ENSG00000095015	MAP3K1	56111401	56191979	5
ENSG00000169967	MAP3K2	128056306	128146041	2
ENSG00000197442	MAP3K5	136878185	137113656	6
ENSG00000135341	MAP3K7	91223292	91296764	6
ENSG00000006432	MAP3K9	71189243	71276251	14
ENSG00000100030	MAPK1	22108789	22221970	22
ENSG00000143384	MCL1	150547032	150552066	1
ENSG00000135679	MDM2	69201956	69239214	12
ENSG00000198625	MDM4	204485511	204542871	1
ENSG00000184634	MED12	70338406	70362303	X
ENSG00000213999	MEF2B	19256377	19303400	19
ENSG00000133895	MEN1	64570982	64578766	11
LRG_509	LRG_509	5579	12781	LRG_509
ENSG00000105976	MET	116312444	116438440	7
ENSG00000174197	MGA	41913422	42062141	15
ENSG00000170430	MGMT	131265448	131566271	10
ENSG00000187098	MITF	69788586	70017488	3
ENSG00000076242	MLH1	37034823	37107380	3
LRG_216	LRG_216	5001	62497	LRG_216
ENSG00000119684	MLH3	75480467	75518235	14
LRG_217	LRG_217	5001	42769	LRG_217
ENSG00000117400	MPL	43803478	43818443	1
LRG_510	LRG_510	5001	21661	LRG_510
ENSG00000020922	MRE11A	94152895	94227074	11
LRG_85	LRG_85	5001	81575	LRG_85
ENSG00000095002	MSH2	47630108	47789450	2
LRG_218	LRG_218	4944	85105	LRG_218
ENSG00000113318	MSH3	79950467	80172279	5
ENSG00000116062	MSH6	47922669	48037240	2
LRG_219	LRG_219	4936	28807	LRG_219
ENSG00000198793	MTOR	11166592	11322564	1
ENSG00000132781	MUTYH	45794835	45806142	1
LRG_220	LRG_220	5001	16229	LRG_220
ENSG00000118513	MYB	135502453	135540311	6
ENSG00000185697	MYBL1	67474410	67526482	8
ENSG00000136997	MYC	128747680	128753674	8
ENSG00000116990	MYCL	40361098	40367928	1
ENSG00000134323	MYCN	16080686	16087129	2
ENSG00000172936	MYD88	38179969	38184513	3
LRG_157	LRG_157	5001	9545	LRG_157
ENSG00000100345	MYH9	36677327	36784063	22
ENSG00000067798	NAV3	78224685	78606790	12
ENSG00000104320	NBN	90945564	91015456	8
LRG_158	LRG_158	5001	56336	LRG_158
ENSG00000176771	NCKAP5	133429374	134326034	2
ENSG00000140396	NCOA2	71021997	71316040	8
ENSG00000124151	NCOA3	46130601	46285621	20
ENSG00000141027	NCOR1	15932471	16121499	17
ENSG00000196712	NF1	29421945	29709134	17
LRG_214	LRG_214	4951	287701	LRG_214
ENSG00000186575	NF2	29999545	30094587	22
LRG_511	LRG_511	5001	100045	LRG_511
ENSG00000116044	NFE2L2	178092323	178257425	2
ENSG00000100906	NFKBIA	35870717	35873955	14
LRG_89	LRG_89	4985	8229	LRG_89
ENSG00000146232	NFKBIE	44225903	44233500	6
ENSG00000164190	NIPBL	36876861	37066515	5
ENSG00000136352	NKX2-1	36985602	36990354	14
ENSG00000148400	NOTCH1	139388896	139440314	9
ENSG00000074181	NOTCH3	15270444	15311792	19
ENSG00000181163	NPM1	170814120	170838141	5
LRG_458	LRG_458	5001	28181	LRG_458
ENSG00000213281	NRAS	115247090	115259515	1
LRG_92	LRG_92	5001	17438	LRG_92
ENSG00000165671	NSD1	176560026	176727216	5
LRG_512	LRG_512	5754	172135	LRG_512
ENSG00000076685	NT5C2	104845940	104953056	10
ENSG00000198400	NTRK1	156785432	156851642	1
LRG_261	LRG_261	5001	71101	LRG_261
ENSG00000148053	NTRK2	87283466	87638505	9
ENSG00000140538	NTRK3	88418230	88799999	15
ENSG00000102900	NUP93	56764017	56878797	16
ENSG00000184507	NUTM1	34635516	34649938	15
ENSG00000186117	OR5L1	55578854	55579952	11
ENSG00000149269	PAK1	77032752	77185680	11
ENSG00000077264	PAK3	110187513	110470589	X
ENSG00000083093	PALB2	23614488	23652631	16
LRG_308	LRG_308	5001	43196	LRG_308
ENSG00000185345	PARK2	161768452	163148803	6
ENSG00000135903	PAX3	223064607	223163715	2
ENSG00000196092	PAX5	36833272	37034103	9
ENSG00000009709	PAX7	18957500	19075360	1
ENSG00000125618	PAX8	113973574	114036527	2
ENSG00000163939	PBRM1	52579368	52719933	3
ENSG00000197646	PDCD1LG2	5510545	5571282	9
ENSG00000100311	PDGFB	39619364	39640756	22
ENSG00000134853	PDGFRA	55095264	55164414	4
ENSG00000113721	PDGFRB	149493400	149535435	5
ENSG00000152256	PDK1	173420101	173489823	2
ENSG00000156531	PHF6	133507283	133562820	X
ENSG00000109132	PHOX2B	41746099	41750987	4
LRG_513	LRG_513	5001	9889	LRG_513
ENSG00000121879	PIK3CA	178865902	178957881	3
ENSG00000105851	PIK3CG	106505723	106547590	7
ENSG00000145675	PIK3R1	67511548	67597649	5
ENSG00000105647	PIK3R2	18263928	18281350	19
ENSG00000181690	PLAG1	57073463	57123883	8
ENSG00000101333	PLCB4	9049410	9461889	20
ENSG00000064933	PMS1	190649107	190742355	2
LRG_221	LRG_221	5001	98545	LRG_221
ENSG00000062822	POLD1	50887461	50921273	19
ENSG00000177084	POLE	133200348	133263951	12
ENSG00000051341	POLQ	121150278	121264853	3
ENSG00000128513	POT1	124462440	124570037	7
ENSG00000184486	POU3F2	99282580	99286660	6
ENSG00000170836	PPM1D	58677544	58741849	17
ENSG00000105568	PPP2R1A	52693292	52730687	19
ENSG00000119414	PPP6C	127908852	127952218	9
ENSG00000057657	PRDM1	106534195	106557814	6
ENSG00000046889	PREX2	68864353	69149265	8
ENSG00000072062	PRKACA	14202500	14228896	19
ENSG00000106617	PRKAG2	151253197	151574210	7
ENSG00000108946	PRKAR1A	66507921	66547460	17
ENSG00000154229	PRKCA	64298754	64806861	17
ENSG00000027075	PRKCH	61654277	62017694	14
ENSG00000253729	PRKDC	48685669	48872743	8
LRG_162	LRG_162	5001	192076	LRG_162
ENSG00000185920	PTCH1	98205262	98279339	9
ENSG00000117425	PTCH2	45285516	45308735	1
ENSG00000171862	PTEN	89622870	89731687	10
LRG_311	LRG_311	5001	110337	LRG_311
ENSG00000120899	PTK2B	27168999	27316903	8
ENSG00000196396	PTPN1	49126891	49201299	20
ENSG00000179295	PTPN11	112856155	112947717	12
ENSG00000127329	PTPRB	70910630	71031220	12
ENSG00000153707	PTPRD	8314246	10612723	9
ENSG00000152894	PTPRK	128289924	128841870	6
ENSG00000196090	PTPRT	40701392	41818610	20
ENSG00000136238	RAC1	6414154	6443608	7
ENSG00000164754	RAD21	117858174	117887105	8
ENSG00000113522	RAD50	131891711	131980313	5
ENSG00000051180	RAD51	40986972	41024354	15
ENSG00000108384	RAD51C	56769934	56811703	17
ENSG00000185379	RAD51D	33426811	33448541	17
ENSG00000132155	RAF1	12625100	12705725	3
LRG_413	LRG_413	4979	85579	LRG_413
ENSG00000131759	RARA	38465444	38513094	17
ENSG00000145715	RASA1	86563705	86687748	5
ENSG00000155903	RASA2	141205889	141334184	3
ENSG00000139687	RB1	48877887	49056122	13
LRG_517	LRG_517	5001	183144	LRG_517
ENSG00000182872	RBM10	47004268	47046212	X
ENSG00000271352	RBM10	47004304	47046248	HG29_PATCH
ENSG00000162924	REL	61108656	61158745	2
ENSG00000173039	RELA	65421067	65430565	11
ENSG00000165731	RET	43572475	43625799	10
ENSG00000106615	RHEB	151163098	151217206	7
ENSG00000067560	RHOA	49396578	49450431	3
ENSG00000164327	RICTOR	38938021	39074510	5
ENSG00000143622	RIT1	155867599	155881195	1
ENSG00000108375	RNF43	56429861	56494956	17
ENSG00000169855	ROBO1	78646390	79816965	3
ENSG00000047936	ROS1	117609463	117747018	6
ENSG00000147403	RPL10	153618315	153637504	X
ENSG00000268963	RPL10	153558423	153577636	HG1497_PATCH
ENSG00000141564	RPTOR	78518619	78940171	17
ENSG00000116954	RRAGC	39303870	39325495	1
ENSG00000126458	RRAS	50138549	50143458	19
ENSG00000262489	RRAS2	14299511	14386053	HG256_PATCH
ENSG00000133818	RRAS2	14299472	14386052	11
ENSG00000147655	RSPO2	108911544	109095913	8
ENSG00000146374	RSPO3	127439749	127518910	6
ENSG00000159216	RUNX1	36160098	37376965	21
LRG_482	LRG_482	940414	1201911	LRG_482
ENSG00000079102	RUNX1T1	92967203	93115514	8
ENSG00000117118	SDHB	17345217	17380665	1
LRG_316	LRG_316	5001	40449	LRG_316
ENSG00000204370	SDHD	111957497	111990353	11
ENSG00000152217	SETBP1	42260138	42648475	18
ENSG00000181555	SETD2	47057919	47205457	3
ENSG00000115524	SF3B1	198254508	198299815	2
ENSG00000111252	SH2B3	111843752	111889427	12
ENSG00000164690	SHH	155592680	155604967	7
ENSG00000169375	SIN3A	75661720	75748183	15
ENSG00000145147	SLIT2	20254883	20622184	4
ENSG00000184564	SLITRK6	86366925	86373623	13
ENSG00000175387	SMAD2	45357922	45457515	18
ENSG00000166949	SMAD3	67356101	67487533	15
ENSG00000141646	SMAD4	48494410	48611415	18
LRG_318	LRG_318	67174	122003	LRG_318
ENSG00000080503	SMARCA2	2015342	2193624	9
ENSG00000127616	SMARCA4	11071598	11176071	19
ENSG00000099956	SMARCB1	24129150	24176703	22
LRG_520	LRG_520	5001	52556	LRG_520
ENSG00000072501	SMC1A	53401070	53449677	X
ENSG00000269384	SMC1A	53117149	53165728	HG1433_PATCH
ENSG00000108055	SMC3	112327449	112364394	10
ENSG00000128602	SMO	128828713	128853386	7
ENSG00000064692	SNCAIP	121647049	121799914	5
ENSG00000185338	SOCS1	11348262	11350036	16
ENSG00000115904	SOS1	39208537	39351486	2
ENSG00000100485	SOS2	50583847	50698276	14
ENSG00000100146	SOX10	38366693	38383429	22
LRG_271	LRG_271	5001	17221	LRG_271
ENSG00000181449	SOX2	181429714	181432221	3
ENSG00000125398	SOX9	70117161	70122561	17
ENSG00000065526	SPEN	16174359	16266955	1
ENSG00000121067	SPOP	47676246	47755596	17
ENSG00000166068	SPRED1	38544527	38649450	15
ENSG00000164056	SPRY1	124317950	124324910	4
ENSG00000136158	SPRY2	80910111	80915086	13
ENSG00000187678	SPRY4	141689992	141706020	5
ENSG00000163554	SPTA1	158580496	158656488	1
ENSG00000197122	SRC	35973088	36034453	20
ENSG00000161547	SRSF2	74730197	74733456	17
ENSG00000141380	SS18	23596578	23671181	18
ENSG00000101972	STAG2	123094062	123556514	X
ENSG00000168610	STAT3	40465342	40540586	17
LRG_112	LRG_112	5001	80171	LRG_112
ENSG00000138378	STAT4	191894302	192016322	2
ENSG00000166888	STAT6	57489191	57525922	12
ENSG00000118046	STK11	1189406	1228428	19
LRG_319	LRG_319	21393	44029	LRG_319
ENSG00000107882	SUFU	104263744	104393292	10
LRG_521	LRG_521	5001	134496	LRG_521
ENSG00000165025	SYK	93564069	93660831	9
ENSG00000131018	SYNE1	152442819	152958936	6
ENSG00000152382	TADA1	166825747	166845564	1
ENSG00000135111	TBX3	115108059	115121969	12
ENSG00000154582	TCEB1	74851404	74884522	8
ENSG00000148737	TCF7L2	114710009	114927437	10
ENSG00000164362	TERT	1253262	1295184	5
LRG_343	LRG_343	5001	46881	LRG_343
ENSG00000168769	TET2	106067032	106200973	4
ENSG00000068323	TFE3	48886242	48901012	X
ENSG00000269748	TFE3	48888130	48902885	HG1436_HG1432_PATCH
ENSG00000112561	TFEB	41651716	41703997	6
ENSG00000163513	TGFBR2	30647994	30735634	3
ENSG00000136869	TLR4	120466610	120479149	9
ENSG00000184012	TMPRSS2	42836478	42903043	21
ENSG00000118503	TNFAIP3	138188351	138204449	6
ENSG00000157873	TNFRSF14	2487078	2496821	1
ENSG00000198900	TOP1	39657458	39753127	20
ENSG00000131747	TOP2A	38544768	38574202	17
ENSG00000141510	TP53	7565097	7590856	17
LRG_321	LRG_321	5001	24149	LRG_321
ENSG00000131323	TRAF3	103243813	103377837	14
LRG_229	LRG_229	5001	139022	LRG_229
ENSG00000131653	TRAF7	2205699	2228130	16
ENSG00000130726	TRIM28	59055458	59062089	19
ENSG00000165699	TSC1	135766735	135820020	9
ENSG00000103197	TSC2	2097466	2138716	16
ENSG00000165409	TSHR	81421333	81612646	14
LRG_523	LRG_523	5001	195778	LRG_523
ENSG00000182463	TSHZ2	51588946	52111869	20
ENSG00000121297	TSHZ3	31765851	31840453	19
ENSG00000145777	TSLP	110405760	110413722	5
ENSG00000167614	TTYH1	54926393	54948080	19
ENSG00000263109	TTYH1	54850624	54872311	HSCHR19LRC_COX1_CTG1
ENSG00000262236	TTYH1	54848800	54870475	HSCHR19LRC_PGF1_CTG1
ENSG00000105397	TYK2	10461209	10491352	19
LRG_121	LRG_121	5001	35045	LRG_121
